,time,rep,cell type ,group,Activated CD4 T cells,Cycling Plasma,Cycling T cells,Cytotoxic CD8 T cells,DCs,MAIT,Megakaryocytes,Memory B cells,Monocytes,Naive B cells,Naive T cells,NKs,Plasma,Stem cells,XCL+ NKs
d_13_SEACell-45,13,5,NKs,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
d_13_SEACell-46,13,5,MAIT,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
d_13_SEACell-47,13,5,Naive T cells,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
d_13_SEACell-48,13,5,Naive T cells,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
d_13_SEACell-49,13,5,Activated CD4 T cells,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d_13_SEACell-5,13,5,Cytotoxic CD8 T cells,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
d_13_SEACell-50,13,5,Cytotoxic CD8 T cells,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
d_13_SEACell-51,13,5,Naive T cells,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
d_13_SEACell-52,13,5,Activated CD4 T cells,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d_13_SEACell-53,13,5,Naive T cells,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
d_13_SEACell-54,13,5,Memory B cells,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
d_13_SEACell-55,13,5,NKs,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
d_13_SEACell-56,13,5,Naive B cells,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
d_13_SEACell-57,13,5,Plasma,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
d_13_SEACell-58,13,5,Memory B cells,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
d_13_SEACell-59,13,5,Cytotoxic CD8 T cells,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
d_13_SEACell-6,13,5,Memory B cells,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
d_13_SEACell-7,13,5,Cycling T cells,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
d_13_SEACell-8,13,5,Plasma,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
d_13_SEACell-9,13,5,Cycling Plasma,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
d_15_SEACell-0,15,6,Plasma,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
d_15_SEACell-1,15,6,Memory B cells,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
d_15_SEACell-10,15,6,Megakaryocytes,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
d_15_SEACell-11,15,6,Plasma,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
d_15_SEACell-12,15,6,Memory B cells,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
d_15_SEACell-13,15,6,Naive T cells,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
d_15_SEACell-14,15,6,XCL+ NKs,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
d_15_SEACell-15,15,6,Stem cells,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
d_15_SEACell-16,15,6,Monocytes,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
d_15_SEACell-17,15,6,Megakaryocytes,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
d_15_SEACell-18,15,6,Cycling T cells,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
d_15_SEACell-19,15,6,Naive T cells,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
d_15_SEACell-2,15,6,Plasma,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
d_15_SEACell-20,15,6,Memory B cells,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
d_15_SEACell-21,15,6,Plasma,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
d_15_SEACell-22,15,6,Activated CD4 T cells,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d_15_SEACell-23,15,6,Cycling T cells,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
d_15_SEACell-24,15,6,Plasma,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
d_15_SEACell-25,15,6,Cytotoxic CD8 T cells,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
d_15_SEACell-26,15,6,Naive T cells,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
d_15_SEACell-27,15,6,Memory B cells,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
d_15_SEACell-28,15,6,Naive B cells,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
d_15_SEACell-29,15,6,Memory B cells,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
d_15_SEACell-3,15,6,Plasma,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
d_15_SEACell-30,15,6,Cycling T cells,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
d_15_SEACell-31,15,6,Cycling T cells,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
d_15_SEACell-32,15,6,Naive B cells,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
d_15_SEACell-33,15,6,Cytotoxic CD8 T cells,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
d_15_SEACell-34,15,6,Naive T cells,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
d_15_SEACell-35,15,6,NKs,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
d_15_SEACell-36,15,6,Activated CD4 T cells,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d_15_SEACell-37,15,6,Memory B cells,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
d_15_SEACell-38,15,6,XCL+ NKs,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
d_15_SEACell-39,15,6,NKs,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
d_15_SEACell-4,15,6,Cycling Plasma,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
d_15_SEACell-5,15,6,Naive B cells,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
d_15_SEACell-6,15,6,NKs,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
d_15_SEACell-7,15,6,DCs,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
d_15_SEACell-8,15,6,MAIT,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
d_15_SEACell-9,15,6,Cytotoxic CD8 T cells,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
d_16_SEACell-0,16,7,Cycling T cells,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
d_16_SEACell-1,16,7,MAIT,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
d_16_SEACell-10,16,7,Cycling T cells,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
